Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		116.0631212	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na116.0608	100	1	1	Linear	TRUE	3	116.0584788		0		TRUE
TRUE	TRUE	0.1	TRUE		147.0817416	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na147.0788	100	1	1	Linear	TRUE	3	147.0758584		0		TRUE
TRUE	TRUE	0.1	TRUE		163.101162	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na163.0979	100	1	1	Linear	TRUE	3	163.094638		0		TRUE
TRUE	TRUE	0.1	TRUE		159.0826816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na159.0795	100	1	1	Linear	TRUE	3	159.0763184		0		TRUE
TRUE	TRUE	0.1	TRUE		149.0852816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na149.0823	100	1	1	Linear	TRUE	3	149.0793184		0		TRUE
TRUE	TRUE	0.1	TRUE		131.0870217	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na131.0844	100	1	1	Linear	TRUE	3	131.0817783		0		TRUE
TRUE	TRUE	0.1	TRUE		145.0666013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0637	100	1	1	Linear	TRUE	3	145.0607987		0		TRUE
TRUE	TRUE	0.1	TRUE		144.0585811	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na144.0557	100	1	1	Linear	TRUE	3	144.0528189		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1901237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1852	100	1	1	Linear	TRUE	3	246.1802763		0		TRUE
TRUE	TRUE	0.1	TRUE		132.0582411	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na132.0556	100	1	1	Linear	TRUE	3	132.0529589		0		TRUE
TRUE	TRUE	0.1	TRUE		169.0775815	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na169.0742	100	1	1	Linear	TRUE	3	169.0708185		0		TRUE
TRUE	TRUE	0.1	TRUE		145.0664013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0635	100	1	1	Linear	TRUE	3	145.0605987		0		TRUE
TRUE	TRUE	0.1	TRUE		134.0697813	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na134.0671	100	1	1	Linear	TRUE	3	134.0644187		0		TRUE
TRUE	TRUE	0.1	TRUE		147.0820416	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na147.0791	100	1	1	Linear	TRUE	3	147.0761584		0		TRUE
TRUE	TRUE	0.1	TRUE		149.0851816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na149.0822	100	1	1	Linear	TRUE	3	149.0792184		0		TRUE
